Collision altitude [m],#Fragments [-],T_0 [days],SC Altitude Offset [m],Target Fraction [-],FoV [deg],Range [m],Incidence Angle [deg],Ablation Time [s],Scan Time [s],Cooldown Time [s],Fluence [J/m^2],Removal Altitude [m],Time Required [days],Fraction removed [-]
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,270000.0,20.0,35.0,5.0,70.0,8500.0,340000.0,692.0276620370371,0.5000216534580573
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,260000.0,20.0,40.0,5.0,70.0,8500.0,340000.0,697.1331597222222,0.5000216534580573
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,250000.0,20.0,42.5,5.0,70.0,8500.0,340000.0,724.9999710648148,0.49019098350006496
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,300000.0,20.0,75.0,5.0,70.0,8500.0,340000.0,92.01018518518518,0.5000216534580573
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,300000.0,20.0,65.0,5.0,70.0,8500.0,340000.0,73.47569444444444,0.5000216534580573
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,300000.0,20.0,55.0,5.0,70.0,8500.0,340000.0,71.11296296296297,0.5000216534580573
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,300000.0,20.0,45.0,5.0,70.0,8500.0,340000.0,72.40659722222222,0.5000216534580573
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,295000.0,20.0,75.0,5.0,70.0,8500.0,340000.0,113.97824074074074,0.5000216534580573
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,295000.0,20.0,65.0,5.0,70.0,8500.0,340000.0,78.3400462962963,0.5000216534580573
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,295000.0,20.0,55.0,5.0,70.0,8500.0,340000.0,74.93530092592593,0.5000216534580573
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,295000.0,20.0,45.0,5.0,70.0,8500.0,340000.0,76.48125,0.5000216534580573
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,290000.0,20.0,65.0,5.0,70.0,8500.0,340000.0,86.65335648148148,0.5000216534580573
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,290000.0,20.0,55.0,5.0,70.0,8500.0,340000.0,79.88668981481482,0.5000216534580573
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,290000.0,20.0,45.0,5.0,70.0,8500.0,340000.0,82.43796296296296,0.5000216534580573
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,285000.0,20.0,77.5,5.0,70.0,8500.0,340000.0,574.419068287037,0.5000216534580573
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,285000.0,20.0,75.0,5.0,70.0,8500.0,340000.0,232.2216435185185,0.5000216534580573
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,285000.0,20.0,65.0,5.0,70.0,8500.0,340000.0,103.20138888888889,0.5000216534580573
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,285000.0,20.0,55.0,5.0,70.0,8500.0,340000.0,87.07210648148148,0.5000216534580573
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,285000.0,20.0,45.0,5.0,70.0,8500.0,340000.0,92.87824074074074,0.5000216534580573
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,280000.0,20.0,77.5,5.0,70.0,8500.0,340000.0,683.6143229166667,0.5000216534580573
